"","Feature1","Feature2","Correlation"
"24378","TCGA-02-0099-01A-01D-0199-05","TCGA-12-1092-01B-01D-0521-05",0.919089753347278
"6283","TCGA-28-1747-01C-01D-0788-05","TCGA-28-1747-01C-01D-0788-05",1
"67183","TCGA-28-1747-01C-01D-0788-05","TCGA-27-1831-01A-01D-0788-05",0.953263293527456
"10459","TCGA-28-1747-01C-01D-0788-05","TCGA-06-0133-01A-02D-0218-05",0.948972132827778
"6632","TCGA-14-1451-01A-01D-0521-05","TCGA-14-1451-01A-01D-0521-05",1
"91196","TCGA-14-1451-01A-01D-0521-05","TCGA-12-1096-01A-01D-0521-05",0.949837161840162
"73448","TCGA-14-1451-01A-01D-0521-05","TCGA-26-1438-01A-01D-0521-05",0.944123042064521
"6981","TCGA-06-0124-01A-01D-0218-05","TCGA-06-0124-01A-01D-0218-05",1
"55701","TCGA-06-0124-01A-01D-0218-05","TCGA-28-2502-01B-01D-0788-05",0.948960078872888
"91197","TCGA-06-0124-01A-01D-0218-05","TCGA-12-1096-01A-01D-0521-05",0.946580355340234
"7330","TCGA-06-0130-01A-01D-0218-05","TCGA-06-0130-01A-01D-0218-05",1
"1066","TCGA-06-0130-01A-01D-0218-05","TCGA-02-0107-01A-01D-0199-05",0.972149881445306
"73102","TCGA-06-0130-01A-01D-0218-05","TCGA-06-0881-01A-02D-0392-05",0.96800580162142
"7679","TCGA-15-1449-01A-01D-0521-05","TCGA-15-1449-01A-01D-0521-05",1
"72059","TCGA-15-1449-01A-01D-0521-05","TCGA-19-0963-01B-01D-0521-05",0.928594856930025
"51875","TCGA-15-1449-01A-01D-0521-05","TCGA-14-1401-01A-01D-0521-05",0.920195816816301
"8028","TCGA-06-0126-01A-01D-0218-05","TCGA-06-0126-01A-01D-0218-05",1
"19164","TCGA-06-0126-01A-01D-0218-05","TCGA-32-2638-01A-01D-0915-05",0.937070499971055
"42132","TCGA-06-0126-01A-01D-0218-05","TCGA-02-0089-01A-01D-0199-05",0.9353210767887
"8377","TCGA-06-0129-01A-01D-0218-05","TCGA-06-0129-01A-01D-0218-05",1
"58141","TCGA-06-0129-01A-01D-0218-05","TCGA-02-2483-01A-01D-0788-05",0.915167032040988
"41785","TCGA-06-0129-01A-01D-0218-05","TCGA-02-0010-01A-01D-0186-05",0.910563158474322
"8726","TCGA-06-0148-01A-01D-0218-05","TCGA-06-0148-01A-01D-0218-05",1
"60578","TCGA-06-0148-01A-01D-0218-05","TCGA-28-1753-01A-01D-0788-05",0.922759854633791
"32738","TCGA-06-0148-01A-01D-0218-05","TCGA-27-2528-01A-01D-0788-05",0.91948405448127
"9075","TCGA-02-0116-01A-01D-0199-05","TCGA-02-0116-01A-01D-0199-05",1
"19167","TCGA-02-0116-01A-01D-0199-05","TCGA-32-2638-01A-01D-0915-05",0.934688542638724
"86331","TCGA-02-0116-01A-01D-0199-05","TCGA-12-3649-01A-01D-0915-05",0.933061774149413
"9424","TCGA-02-0024-01B-01D-0186-05","TCGA-02-0024-01B-01D-0186-05",1
"78676","TCGA-02-0024-01B-01D-0186-05","TCGA-02-0047-01A-01D-0186-05",0.919870871495897
"81112","TCGA-02-0024-01B-01D-0186-05","TCGA-02-0052-01A-01D-0186-05",0.910530232438095
"9773","TCGA-02-0001-01C-01D-0186-05","TCGA-02-0001-01C-01D-0186-05",1
"42833","TCGA-02-0001-01C-01D-0186-05","TCGA-02-0057-01A-01D-0186-05",0.956313102684655
"1769","TCGA-02-0001-01C-01D-0186-05","TCGA-16-1045-01B-01D-0521-05",0.950337161643293
"10122","TCGA-32-1978-01A-01D-1228-05","TCGA-32-1978-01A-01D-1228-05",1
