"","Feature1","Feature2","Correlation"
"7679","TCGA-15-1449-01A-01R-0522-01","TCGA-15-1449-01A-01R-0522-01",1
"11159","TCGA-15-1449-01A-01R-0522-01","TCGA-15-1447-01A-01R-0522-01",0.994402361768602
"72059","TCGA-15-1449-01A-01R-0522-01","TCGA-19-0963-01B-01R-0522-01",0.937628506711378
"8028","TCGA-06-0126-01A-01R-0219-01","TCGA-06-0126-01A-01R-0219-01",1
"12552","TCGA-06-0126-01A-01R-0219-01","TCGA-06-0125-01A-01R-0219-01",0.967678622431079
"35868","TCGA-06-0126-01A-01R-0219-01","TCGA-19-1786-01A-01R-0596-01",0.966748520928324
"8377","TCGA-06-0129-01A-01R-0219-01","TCGA-06-0129-01A-01R-0219-01",1
"30649","TCGA-06-0129-01A-01R-0219-01","TCGA-06-2570-01A-01R-0789-01",0.956638674458007
"23341","TCGA-06-0129-01A-01R-0219-01","TCGA-32-1976-01A-01R-0789-01",0.94529222230006
"8726","TCGA-06-0148-01A-05R-0233-01","TCGA-06-0148-01A-05R-0233-01",1
"69974","TCGA-06-0148-01A-05R-0233-01","TCGA-16-1062-01A-01R-0522-01",0.951988483803232
"12554","TCGA-06-0148-01A-05R-0233-01","TCGA-06-0125-01A-01R-0219-01",0.951913003127376
"9075","TCGA-02-0116-01A-01R-0202-01","TCGA-02-0116-01A-01R-0202-01",1
"13251","TCGA-02-0116-01A-01R-0202-01","TCGA-02-0021-01A-01R-0177-01",0.882660543064468
"95031","TCGA-02-0116-01A-01R-0202-01","TCGA-02-0038-01A-01R-0177-01",0.878719914308835
"9424","TCGA-02-0024-01B-01R-0177-01","TCGA-02-0024-01B-01R-0177-01",1
"13252","TCGA-02-0024-01B-01R-0177-01","TCGA-02-0021-01A-01R-0177-01",0.876876542625387
"9076","TCGA-02-0024-01B-01R-0177-01","TCGA-02-0116-01A-01R-0202-01",0.871784158029697
"9773","TCGA-02-0001-01C-01R-0177-01","TCGA-02-0001-01C-01R-0177-01",1
"81113","TCGA-02-0001-01C-01R-0177-01","TCGA-02-0052-01A-01R-0177-01",0.911153377562203
"37961","TCGA-02-0001-01C-01R-0177-01","TCGA-02-0003-01A-01R-0177-01",0.903468247913276
"10122","TCGA-32-1978-01A-01R-1230-01","TCGA-32-1978-01A-01R-1230-01",1
"89466","TCGA-32-1978-01A-01R-1230-01","TCGA-19-2631-01A-01R-1230-01",0.962625783028464
"62322","TCGA-32-1978-01A-01R-1230-01","TCGA-06-2565-01A-01R-0789-01",0.957972003438426
"10471","TCGA-06-0133-01A-02R-0219-01","TCGA-06-0133-01A-02R-0219-01",1
"82159","TCGA-06-0133-01A-02R-0219-01","TCGA-14-1827-01A-01R-0596-01",0.973906188853078
"52579","TCGA-06-0133-01A-02R-0219-01","TCGA-28-1752-01A-01R-0596-01",0.957840960984169
"10820","TCGA-14-1829-01A-01R-0596-01","TCGA-14-1829-01A-01R-0596-01",1
"40748","TCGA-14-1829-01A-01R-0596-01","TCGA-14-3476-01B-01R-1230-01",0.954837875886006
"64412","TCGA-14-1829-01A-01R-0596-01","TCGA-06-0939-01A-01R-1230-01",0.954438919254228
"11169","TCGA-15-1447-01A-01R-0522-01","TCGA-15-1447-01A-01R-0522-01",1
"7689","TCGA-15-1447-01A-01R-0522-01","TCGA-15-1449-01A-01R-0522-01",0.994402361768602
"72069","TCGA-15-1447-01A-01R-0522-01","TCGA-19-0963-01B-01R-0522-01",0.942840468535908
"11518","TCGA-12-1091-01A-01R-0522-01","TCGA-12-1091-01A-01R-0522-01",1
"69982","TCGA-12-1091-01A-01R-0522-01","TCGA-16-1062-01A-01R-0522-01",0.959732838736942
"65458","TCGA-12-1091-01A-01R-0522-01","TCGA-12-0821-01A-01R-0389-01",0.957211992700419
"11867","TCGA-06-0147-01A-01R-0219-01","TCGA-06-0147-01A-01R-0219-01",1
"73115","TCGA-06-0147-01A-01R-0219-01","TCGA-06-0881-01A-02R-0389-01",0.973921265161663
"41447","TCGA-06-0147-01A-01R-0219-01","TCGA-06-0139-01A-01R-0219-01",0.965734449239254
"12216","TCGA-02-0114-01A-01R-0202-01","TCGA-02-0114-01A-01R-0202-01",1
"106524","TCGA-02-0114-01A-01R-0202-01","TCGA-76-4925-01A-01R-1482-01",0.944631091662842
"116616","TCGA-02-0114-01A-01R-0202-01","TCGA-06-5417-01A-01R-1482-01",0.944493063196359
"12565","TCGA-06-0125-01A-01R-0219-01","TCGA-06-0125-01A-01R-0219-01",1
"60241","TCGA-06-0125-01A-01R-0219-01","TCGA-28-1749-01A-01R-0596-01",0.97140521328887
"8041","TCGA-06-0125-01A-01R-0219-01","TCGA-06-0126-01A-01R-0219-01",0.967678622431079
